NAME,Site_Name,distance_to_site_miles
ORLANDO SCIENCE MIDDLE HIGH CHARTER,Chevron Chemical Co. (Ortho Division),0.42886100354200535
Dover Middle School,Dover Chemical Corp.,0.4289782077915844
Digital Pioneers Academy PCS - Capitol Hill,Washington Navy Yard,0.429274796854063
Spencer Elementary School,Franklin Street Groundwater Contamination,0.4293179936741507
JAMES RODRIGUEZ ELEMENTARY,North Railroad Avenue Plume,0.43069005838690266
Stevenson Elementary,"Spectra-Physics, Inc.",0.4314366975803583
Wayne County Virtual School,Mallory Capacitor Co.,0.4319916840122438
EDISON PARK K-8 CENTER,Continental Cleaners,0.4320647329003625
Long Middle,Burlington Industries Cheraw,0.4326408020254797
East High,700 South 1600 East PCE Plume,0.4335541301723234
APOLO SAN ANTONIO,Vega Alta Public Supply Wells,0.43383632801516026
PS 58 CARROLL (THE),Gowanus Canal,0.43401724888707743
Clearwater Elementary,Clearwater Finishing,0.4348713132941428
HAPPY EL,North East 2nd Street (formerly Attebury Grain Storage Facility),0.4356280827172159
HAPPY H S,North East 2nd Street (formerly Attebury Grain Storage Facility),0.4369813669886929
Anacostia HS,Washington Navy Yard,0.43719899667114354
Lincoln School,Petoskey Municipal Well Field,0.43761322718950496
Enslen Elementary,Modesto Ground Water Contamination,0.4385752044495514
Bergen Arts and Sciences Charter School,Garfield Ground Water Contamination,0.43938352875417985
Park Avenue Elementary School,U.S. Radium Corp.,0.4396286236696556
CLARKE MIDDLE SCHOOL,New Cassel/Hicksville Ground Water Contamination,0.44017746356252957
Maywood Avenue School,Maywood Chemical Co.,0.441189169748986
